model,status,match,differences,n_params,theta_keys
ddm,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",4,"v, a, z, t"
ddm_st,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; rts: values differ (max diff: 1.811862e-03)",5,"v, a, z, t, st"
ddm_truncnormt,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; rts: values differ (max diff: 2.664208e-03)",5,"v, a, z, mt, st"
ddm_rayleight,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; rts: values differ (max diff: 6.030879e-01)",4,"v, a, z, st"
ddm_sdv,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; rts: values differ (max diff: 6.367682e+00); choices: values differ (max diff: 2.000000e+00)",5,"v, a, z, t, sv"
ddm_par2,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",8,"vh, vl1, vl2, a, zh, zl1, zl2, t"
ddm_par2_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",5,"vh, vl1, vl2, a, t"
ddm_par2_conflict_gamma_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",9,"vh, vl1, vl2, t, a, theta, scale, alphaGamma, scaleGamma"
ddm_par2_angle_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",6,"vh, vl1, vl2, a, t, theta"
ddm_par2_weibull_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",7,"vh, vl1, vl2, a, t, alpha, beta"
ddm_seq2,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",8,"vh, vl1, vl2, a, zh, zl1, zl2, t"
ddm_seq2_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",5,"vh, vl1, vl2, a, t"
ddm_seq2_conflict_gamma_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",9,"vh, vl1, vl2, t, a, theta, scale, alphaGamma, scaleGamma"
ddm_seq2_angle_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",6,"vh, vl1, vl2, a, t, theta"
ddm_seq2_weibull_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",7,"vh, vl1, vl2, a, t, alpha, beta"
